,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.7558552164655784,0.861186301199706,0.524451939291737,0.8337801608579088,0.6438923395445134,0.5018489586221365
Decision Tree,0.7452093683463449,0.8467178879377271,0.5121951219512195,0.7882037533512064,0.6209081309398099,0.4650601181709944
KNN,0.709013484740951,0.8161365118469677,0.4712286158631415,0.8123324396782842,0.5964566929133859,0.42883652433169916
Naive Bayes,0.6678495386799148,0.8376579854461893,0.4375821287779238,0.8927613941018767,0.5873015873015873,0.42458476487789193
Random Forest,0.7906316536550745,0.8554025588207893,0.5866666666666667,0.707774798927614,0.6415552855407047,0.49986009943789844
XGBoost,0.7991483321504613,0.8606350989058765,0.6018099547511312,0.7131367292225201,0.652760736196319,0.5165492114650038
